Chapter,ID,People/Event
1,people_fcca0444987a5079a15a040d5c39555b,Tamar
1,people_f37710aa0d0f87130c8fecfd990e9164,Abraham
1,people_f02951ae64b776ef8ca2411ad120f484,Jesse
1,people_ed58cf33c51aecbb52cc4e7e4def4f13,Rachab
1,people_ea66793b6e33bea1e1b75846573317ca,Manasseh
1,people_e8fe71afc0f0c76e0a6ed42e6de85cbb,Ram
1,people_e18ea6d97780c690a97f4b055ccd6aca,Salmon
1,people_dd55f8b07f89d58897b64c3cf2d09594,Solomon
1,people_db78b6b7bb3cbb577eb291deb4937965,Israel
1,people_d88a46b8f9a573819a709f49f44c1a16,Hezekiah
1,people_d5695541350b91009b713566d3e6395e,Boaz
1,people_d2e9fd4c9c851f84c3bd8dd7cf7c5f9d,Ruth
1,people_cf866c754a525f88f4cebba1d2255209,Achim
1,people_bee029728b52f9b1bc855e1b86f31a5d,Sadoc
1,people_bd51343ae1296e5fcfbc1ff629830b3a,David
1,people_a75329b56c15eb6a05b360d84637c406,Rehoboam
1,people_9cc2e6d94571c3cb8b951f1fae99f8c4,Pharez
1,people_8f97f67acb47182d3e43ed222201d8e5,Ahaz
1,people_8f367c1b11a63a2c205a984f71382a98,Holy Spirit
1,people_89d7ee39cdedae1364407a6a49728f9f,Jehoiachin
1,people_84a36936271e0100a108ac9aa18cb071,Amon
1,people_8392c0923cc9ae5b21f55fb5281ae163,Isaac
1,people_823c1a1db9f366b637d3574c70175e82,Azor
1,people_7d80d364071b3f9dcb768ced77741c16,Joseph_1715
1,people_7bc8a6abf56dd142863cb02d67267fb4,Abijah
1,people_74fc34c0591dc0c0a09fa2413e4e4e51,Jesus
1,people_72daa23c5b8ff48c2e84bfd87132d45e,Uriah
1,people_6ba609430529b3380e54cea0f3f7f5df,Jotham
1,people_6b7d634ab990dc3fc87cd56aa28fe348,Matthan
1,people_683fce80a490f77ad1a63da6639e2582,Nahshon
1,people_603311dee62226af16f20ae0c65f5c9b,Shealtiel
1,people_586153f8442cee22100a58acfc3ede2a,Abiud
1,people_57baae6de10be31140da419d18163556,Zerubbabel
1,people_57a28606b9c740827a5f01bb35533e3a,Asa
1,people_53edb9dcf5c117e0d12ff621108a96f8,Eliakim
1,people_5001f21d1ab4ccc630f917f23d1a115b,Josiah_1730
1,people_4fa6d45c4aa8199bf8d21e69fec0b932,Hezron
1,people_4fa39b20bb93641742fe92019681eb1b,Jehoshaphat
1,people_4ddbc04a39213f9988008e5d09a9a081,Zerah
1,people_3e47554bdced89caf1fbf41ad2ed6e1b,Jacob
1,people_3d8009469f67bff8af4faf17e75a0ea3,Jehoram
1,people_3758206665779a884109493c52672c88,Eliud
